processid;state;user;tasktype;taskid;action;pmmid;region;priority;
110185;OPEN;Approve LS;USER_TASK;201450;ASSIGNED;655;JOHANNESBURG;1;655
100123;OPEN;Approve GeoSlam;USER_TASK;201462;ASSIGNED;656;JOHANNESBURG;1;#N/A
110182;OPEN;User task 1;USER_TASK;201565;SUSPENDED;665;POLOKWANE;1;#N/A
110519;OPEN;Approve GeoSlam;USER_TASK;201929;ASSIGNED;677;JOHANNESBURG;2;#N/A
100289;OPEN;Approve GeoSlam;USER_TASK;201927;ASSIGNED;678;JOHANNESBURG;2;#N/A
110300;OPEN;User task 1;USER_TASK;202254;SUSPENDED;688;DURBAN;1;#N/A
130118;OPEN;Approve GeoSlam;USER_TASK;202289;ASSIGNED;699;JOHANNESBURG;2;#N/A
110576;OPEN;Approve GeoSlam;USER_TASK;202027;ASSIGNED;729;JOHANNESBURG;2;#N/A
100329;OPEN;Approve GeoSlam;USER_TASK;202025;ASSIGNED;730;JOHANNESBURG;2;#N/A
100286;OPEN;Approve GeoSlam;USER_TASK;201924;ASSIGNED;731;JOHANNESBURG;2;#N/A
110517;OPEN;Approve GeoSlam;USER_TASK;201922;ASSIGNED;732;JOHANNESBURG;2;#N/A
100137;OPEN;Approve GeoSlam;USER_TASK;201492;ASSIGNED;764;DURBAN;1;#N/A
100139;OPEN;Resubmit;USER_TASK;202354;ASSIGNED;765;DURBAN;1;765
100145;OPEN;User task 1;USER_TASK;202256;SUSPENDED;1004;DURBAN;1;#N/A
110292;OPEN;User task 2;USER_TASK;201816;ASSIGNED;1009;DURBAN;1;#N/A
130029;OPEN;Approve GeoSlam;USER_TASK;202132;ASSIGNED;1009;DURBAN;1;#N/A
100147;OPEN;User task 1;USER_TASK;202255;SUSPENDED;1019;DURBAN;1;#N/A
100071;OPEN;Approve GeoSlam;USER_TASK;201301;SUSPENDED;1056;DURBAN;1;#N/A
110294;OPEN;User task 2;USER_TASK;202070;ASSIGNED;1056;DURBAN;1;#N/A
130031;OPEN;Approve GeoSlam;USER_TASK;202134;ASSIGNED;1056;DURBAN;1;#N/A
130033;OPEN;Approve GeoSlam;USER_TASK;202136;ASSIGNED;1295;CAPE TOWN;1;#N/A
130035;OPEN;Approve GeoSlam;USER_TASK;202138;ASSIGNED;1398;CAPE TOWN;1;#N/A
100323;OPEN;Approve GeoSlam;USER_TASK;202018;ASSIGNED;1473;JOHANNESBURG;2;#N/A
100321;OPEN;Approve GeoSlam;USER_TASK;202016;ASSIGNED;1495;JOHANNESBURG;2;#N/A
100319;OPEN;Approve GeoSlam;USER_TASK;202014;ASSIGNED;1496;JOHANNESBURG;2;#N/A
100317;OPEN;Approve GeoSlam;USER_TASK;202012;ASSIGNED;1499;JOHANNESBURG;2;#N/A
100315;OPEN;Approve GeoSlam;USER_TASK;202010;ASSIGNED;1501;JOHANNESBURG;2;#N/A
100313;OPEN;Approve GeoSlam;USER_TASK;202008;ASSIGNED;1502;JOHANNESBURG;2;#N/A
100310;OPEN;Approve GeoSlam;USER_TASK;202005;ASSIGNED;1503;JOHANNESBURG;2;#N/A
100125;OPEN;User task 2;USER_TASK;202076;ASSIGNED;1512;JOHANNESBURG;1;#N/A
100308;OPEN;Approve GeoSlam;USER_TASK;202003;ASSIGNED;1516;JOHANNESBURG;2;#N/A
110574;OPEN;Approve GeoSlam;USER_TASK;202001;ASSIGNED;1518;JOHANNESBURG;2;#N/A
100127;OPEN;Approve GeoSlam;USER_TASK;201468;SUSPENDED;1523;JOHANNESBURG;1;#N/A
100129;OPEN;User task 2;USER_TASK;202241;ASSIGNED;1542;JOHANNESBURG;1;#N/A
100007;OPEN;Approve LS;USER_TASK;201444;ASSIGNED;1554;JOHANNESBURG;1;#N/A
120040;OPEN;Approve QA;USER_TASK;202232;ASSIGNED;1555;JOHANNESBURG;1;#N/A
130037;OPEN;Approve GeoSlam;USER_TASK;202140;ASSIGNED;1610;PORT ELIZABETH;1;#N/A
100141;OPEN;User task 2;USER_TASK;202338;ASSIGNED;1627;DURBAN;1;#N/A
130039;OPEN;Approve QA;USER_TASK;202339;ASSIGNED;1681;CAPE TOWN;1;#N/A
130041;OPEN;Approve QA;USER_TASK;202355;ASSIGNED;1682;CAPE TOWN;1;#N/A
100159;OPEN;User task 2;USER_TASK;202242;ASSIGNED;1685;CAPE TOWN;1;#N/A
100161;OPEN;Approve LS;USER_TASK;202350;ASSIGNED;1697;CAPE TOWN;1;#N/A
